Input voltage [V]    Input voltage [V]     Output Voltage [V]    Maximum error [V]   Maximum error [V]   Maximum error [V]
  Wavetek 9100        Agilent 34410A         Agilent 3458A         Wavetek 9100       Agilent 34410A      Agilent 3458A 
  5.70000000          5.70076439             3.535896e-02          4.200000e-03       6.420459e-03        4.475127e-06
  5.72500000          5.72589774             3.551770e-02          4.210000e-03       6.435539e-03        4.486239e-06
  5.75000000          5.75087241             3.566416e-02          4.220000e-03       6.450523e-03        4.496491e-06
  5.77500000          5.77574016             3.582378e-02          4.230000e-03       6.465444e-03        4.507665e-06
  5.80000000          5.80077751             3.597877e-02          4.240000e-03       6.480467e-03        4.518514e-06
  5.82500000          5.82586477             3.612700e-02          4.250000e-03       6.495519e-03        4.528890e-06
  5.85000000          5.85102295             3.629422e-02          4.260000e-03       6.510614e-03        4.540595e-06
  5.87500000          5.87570826             3.643674e-02          4.270000e-03       6.525425e-03        4.550572e-06
  5.90000000          5.90102487             3.659994e-02          4.280000e-03       6.540615e-03        4.561996e-06
  5.92500000          5.92561379             3.675354e-02          4.290000e-03       6.555368e-03        4.572748e-06
  5.95000000          5.95074057             3.691139e-02          4.300000e-03       6.570444e-03        4.583797e-06
  5.97500000          5.97591112             3.706457e-02          4.310000e-03       6.585547e-03        4.594520e-06
  6.00000000          6.00095322             3.721756e-02          4.320000e-03       6.600572e-03        4.605229e-06
  6.02500000          6.02581048             3.737539e-02          4.330000e-03       6.615486e-03        4.616277e-06
  6.05000000          6.05074224             3.753260e-02          4.340000e-03       6.630445e-03        4.627282e-06
  6.07500000          6.07583684             3.768622e-02          4.350000e-03       6.645502e-03        4.638035e-06
  6.10000000          6.10084376             3.783958e-02          4.360000e-03       6.660506e-03        4.648770e-06
  6.12500000          6.12576288             3.799191e-02          4.370000e-03       6.675458e-03        4.659434e-06
  6.15000000          6.15087463             3.814857e-02          4.380000e-03       6.690525e-03        4.670400e-06
  6.17500000          6.17596579             3.830138e-02          4.390000e-03       6.705579e-03        4.681097e-06
  6.20000000          6.20079280             3.846251e-02          4.400000e-03       6.720476e-03        4.692375e-06
  6.22500000          6.22573070             3.861527e-02          4.410000e-03       6.735438e-03        4.703069e-06
  6.25000000          6.25109648             3.877028e-02          4.420000e-03       6.750658e-03        4.713920e-06
  6.27500000          6.27582902             3.892026e-02          4.430000e-03       6.765497e-03        4.724418e-06
  6.30000000          6.30083318             3.908237e-02          4.440000e-03       6.780500e-03        4.735766e-06
  6.32500000          6.32589487             3.923633e-02          4.450000e-03       6.795537e-03        4.746543e-06
  6.35000000          6.35087177             3.939293e-02          4.460000e-03       6.810523e-03        4.757505e-06
  6.37500000          6.37589251             3.954535e-02          4.470000e-03       6.825536e-03        4.768174e-06
  6.40000000          6.40081010             3.970155e-02          4.480000e-03       6.840486e-03        4.779108e-06
  6.42500000          6.42589434             3.985538e-02          4.490000e-03       6.855537e-03        4.789877e-06
  6.45000000          6.45076098             4.000699e-02          4.500000e-03       6.870457e-03        4.800489e-06
  6.47500000          6.47587865             4.016869e-02          4.510000e-03       6.885527e-03        4.811809e-06
  6.50000000          6.50080219             4.032554e-02          4.520000e-03       6.900481e-03        4.822788e-06
  6.52500000          6.52591947             4.047783e-02          4.530000e-03       6.915552e-03        4.833448e-06
  6.55000000          6.55096937             4.063314e-02          4.540000e-03       6.930582e-03        4.844320e-06
  6.57500000          6.57594683             4.079327e-02          4.550000e-03       6.945568e-03        4.855529e-06
  6.60000000          6.60080622             4.093926e-02          4.560000e-03       6.960484e-03        4.865748e-06
  6.62500000          6.62568934             4.109279e-02          4.570000e-03       6.975414e-03        4.876495e-06
  6.65000000          6.65071891             4.125166e-02          4.580000e-03       6.990431e-03        4.887616e-06
  6.67500000          6.67579187             4.140718e-02          4.590000e-03       7.005475e-03        4.898502e-06
  6.70000000          6.70111497             4.156553e-02          4.600000e-03       7.020669e-03        4.909587e-06
  6.72500000          6.72572843             4.171495e-02          4.610000e-03       7.035437e-03        4.920047e-06
  6.75000000          6.75092119             4.187162e-02          4.620000e-03       7.050553e-03        4.931013e-06
  6.77500000          6.77601662             4.202792e-02          4.630000e-03       7.065610e-03        4.941955e-06
  6.80000000          6.80092866             4.218564e-02          4.640000e-03       7.080557e-03        4.952995e-06
  6.82500000          6.82576085             4.233422e-02          4.650000e-03       7.095457e-03        4.963395e-06
  6.85000000          6.85089978             4.249032e-02          4.660000e-03       7.110540e-03        4.974322e-06
  6.87500000          6.87590539             4.264686e-02          4.670000e-03       7.125543e-03        4.985280e-06
  6.90000000          6.90098899             4.280462e-02          4.680000e-03       7.140593e-03        4.996324e-06
  6.92500000          6.92593024             4.295846e-02          4.690000e-03       7.155558e-03        5.007092e-06
  6.95000000          6.95094618             4.310970e-02          4.700000e-03       7.170568e-03        5.017679e-06
  6.97500000          6.97581142             4.326834e-02          4.710000e-03       7.185487e-03        5.028784e-06
  7.00000000          7.00090400             4.342088e-02          4.720000e-03       7.200542e-03        5.039461e-06
  7.02500000          7.02592657             4.357997e-02          4.730000e-03       7.215556e-03        5.050598e-06
  7.05000000          7.05080587             4.372914e-02          4.740000e-03       7.230484e-03        5.061040e-06
  7.07500000          7.07581820             4.388695e-02          4.750000e-03       7.245491e-03        5.072087e-06
  7.10000000          7.10112172             4.404416e-02          4.760000e-03       7.260673e-03        5.083091e-06
  7.12500000          7.12588117             4.419710e-02          4.770000e-03       7.275529e-03        5.093797e-06
  7.15000000          7.15069274             4.435346e-02          4.780000e-03       7.290416e-03        5.104742e-06
  7.17500000          7.17595823             4.451138e-02          4.790000e-03       7.305575e-03        5.115797e-06
  7.20000000          7.20092137             4.466281e-02          4.800000e-03       7.320553e-03        5.126397e-06
  7.22500000          7.22594246             4.481881e-02          4.810000e-03       7.335565e-03        5.137317e-06
  7.25000000          7.25081593             4.497248e-02          4.820000e-03       7.350490e-03        5.148074e-06
  7.27500000          7.27576273             4.512731e-02          4.830000e-03       7.365458e-03        5.158912e-06
  7.30000000          7.30079562             4.528380e-02          4.840000e-03       7.380477e-03        5.169866e-06
  7.32500000          7.32590348             4.544085e-02          4.850000e-03       7.395542e-03        5.180859e-06
  7.35000000          7.35093496             4.559536e-02          4.860000e-03       7.410561e-03        5.191675e-06
  7.37500000          7.37598491             4.575077e-02          4.870000e-03       7.425591e-03        5.202554e-06
  7.40000000          7.40094969             4.590363e-02          4.880000e-03       7.440570e-03        5.213254e-06
  7.42500000          7.42595391             4.605810e-02          4.890000e-03       7.455572e-03        5.224067e-06
  7.45000000          7.45090740             4.621192e-02          4.900000e-03       7.470544e-03        5.234835e-06
  7.47500000          7.47591201             4.636955e-02          4.910000e-03       7.485547e-03        5.245869e-06
  7.50000000          7.50096260             4.652534e-02          4.920000e-03       7.500578e-03        5.256774e-06
  7.52500000          7.52580363             4.668045e-02          4.930000e-03       7.515482e-03        5.267631e-06
  7.55000000          7.55087121             4.683718e-02          4.940000e-03       7.530523e-03        5.278602e-06
  7.57500000          7.57582431             4.699567e-02          4.950000e-03       7.545495e-03        5.289697e-06
  7.60000000          7.60073167             4.714360e-02          4.960000e-03       7.560439e-03        5.300052e-06
  7.62500000          7.62604399             4.729886e-02          4.970000e-03       7.575626e-03        5.310920e-06
  7.65000000          7.65091209             4.746029e-02          4.980000e-03       7.590547e-03        5.322220e-06
  7.67500000          7.67604195             4.761133e-02          4.990000e-03       7.605625e-03        5.332793e-06
  7.70000000          7.70087607             4.776548e-02          5.000000e-03       7.620526e-03        5.343584e-06
  7.72500000          7.72583776             4.791897e-02          5.010000e-03       7.635503e-03        5.354328e-06
  7.75000000          7.75077761             4.807601e-02          5.020000e-03       7.650467e-03        5.365321e-06
  7.77500000          7.77584386             4.823321e-02          5.030000e-03       7.665506e-03        5.376325e-06
  7.80000000          7.80095077             4.838923e-02          5.040000e-03       7.680570e-03        5.387246e-06
  7.82500000          7.82586294             4.854354e-02          5.050000e-03       7.695518e-03        5.398048e-06
  7.85000000          7.85094287             4.869684e-02          5.060000e-03       7.710566e-03        5.408779e-06
  7.87500000          7.87600260             4.885472e-02          5.070000e-03       7.725602e-03        5.419830e-06
  7.90000000          7.90104208             4.901063e-02          5.080000e-03       7.740625e-03        5.430744e-06
  7.92500000          7.92604490             4.916434e-02          5.090000e-03       7.755627e-03        5.441504e-06
  7.95000000          7.95082734             4.931550e-02          5.100000e-03       7.770496e-03        5.452085e-06
  7.97500000          7.97601226             4.947373e-02          5.110000e-03       7.785607e-03        5.463161e-06
  8.00000000          8.00099889             4.962845e-02          5.120000e-03       7.800599e-03        5.473991e-06
  8.02500000          8.02590489             4.978301e-02          5.130000e-03       7.815543e-03        5.484811e-06
  8.05000000          8.05097930             4.993617e-02          5.140000e-03       7.830588e-03        5.495532e-06
  8.07500000          8.07596034             5.009250e-02          5.150000e-03       7.845576e-03        5.506475e-06
  8.10000000          8.10102580             5.025128e-02          5.160000e-03       7.860615e-03        5.517590e-06
  8.12500000          8.12596219             5.040330e-02          5.170000e-03       7.875577e-03        5.528231e-06
  8.15000000          8.15092812             5.055410e-02          5.180000e-03       7.890557e-03        5.538787e-06
  8.17500000          8.17599857             5.071553e-02          5.190000e-03       7.905599e-03        5.550087e-06
  8.20000000          8.20094842             5.086885e-02          5.200000e-03       7.920569e-03        5.560819e-06
  8.22500000          8.22585586             5.102480e-02          5.210000e-03       7.935514e-03        5.571736e-06
  8.25000000          8.25097102             5.117838e-02          5.220000e-03       7.950583e-03        5.582487e-06
  8.27500000          8.27593961             5.133856e-02          5.230000e-03       7.965564e-03        5.593699e-06
  8.30000000          8.30104063             5.148993e-02          5.240000e-03       7.980624e-03        5.604295e-06
  8.32500000          8.32616273             5.164931e-02          5.250000e-03       7.995698e-03        5.615451e-06
  8.35000000          8.35100483             5.180112e-02          5.260000e-03       8.010603e-03        5.626078e-06
  8.37500000          8.37605648             5.195673e-02          5.270000e-03       8.025634e-03        5.636971e-06
  8.40000000          8.40128194             5.211228e-02          5.280000e-03       8.040769e-03        5.647860e-06
  8.42500000          8.42613683             5.226806e-02          5.290000e-03       8.055682e-03        5.658765e-06
  8.45000000          8.45098196             5.242144e-02          5.300000e-03       8.070589e-03        5.669501e-06
  8.47500000          8.47607856             5.257759e-02          5.310000e-03       8.085647e-03        5.680431e-06
  8.50000000          8.50114196             5.273398e-02          5.320000e-03       8.100685e-03        5.691379e-06
  8.52500000          8.52612153             5.288435e-02          5.330000e-03       8.115673e-03        5.701905e-06
  8.55000000          8.55099074             5.303955e-02          5.340000e-03       8.130594e-03        5.712769e-06
  8.57500000          8.57598285             5.319833e-02          5.350000e-03       8.145590e-03        5.723883e-06
  8.60000000          8.60097261             5.335085e-02          5.360000e-03       8.160584e-03        5.734560e-06
  8.62500000          8.62582079             5.350309e-02          5.370000e-03       8.175492e-03        5.745216e-06
  8.65000000          8.65101624             5.366574e-02          5.380000e-03       8.190610e-03        5.756602e-06
  8.67500000          8.67603752             5.381659e-02          5.390000e-03       8.205623e-03        5.767161e-06
  8.70000000          8.70092062             5.396658e-02          5.400000e-03       8.220552e-03        5.777660e-06
  8.72500000          8.72606451             5.412963e-02          5.410000e-03       8.235639e-03        5.789074e-06
  8.75000000          8.75107493             5.428350e-02          5.420000e-03       8.250645e-03        5.799845e-06
  8.77500000          8.77606989             5.444017e-02          5.430000e-03       8.265642e-03        5.810812e-06
  8.80000000          8.80113602             5.458892e-02          5.440000e-03       8.280682e-03        5.821225e-06
  8.82500000          8.82611931             5.474851e-02          5.450000e-03       8.295672e-03        5.832396e-06
  8.85000000          8.85104900             5.489952e-02          5.460000e-03       8.310629e-03        5.842967e-06
  8.87500000          8.87598995             5.505678e-02          5.470000e-03       8.325594e-03        5.853975e-06
  8.90000000          8.90110856             5.521078e-02          5.480000e-03       8.340665e-03        5.864754e-06
  8.92500000          8.92601926             5.537098e-02          5.490000e-03       8.355612e-03        5.875969e-06
  8.95000000          8.95115664             5.552239e-02          5.500000e-03       8.370694e-03        5.886567e-06
  8.97500000          8.97620168             5.568309e-02          5.510000e-03       8.385721e-03        5.897816e-06
  9.00000000          9.00124135             5.583467e-02          5.520000e-03       8.400745e-03        5.908427e-06
  9.02500000          9.02608451             5.598901e-02          5.530000e-03       8.415651e-03        5.919231e-06
  9.05000000          9.05105199             5.614568e-02          5.540000e-03       8.430631e-03        5.930198e-06
  9.07500000          9.07613599             5.629855e-02          5.550000e-03       8.445682e-03        5.940898e-06
  9.10000000          9.10107354             5.645433e-02          5.560000e-03       8.460644e-03        5.951803e-06
  9.12500000          9.12604297             5.660765e-02          5.570000e-03       8.475626e-03        5.962536e-06
  9.15000000          9.15093831             5.676535e-02          5.580000e-03       8.490563e-03        5.973575e-06
  9.17500000          9.17614917             5.692667e-02          5.590000e-03       8.505690e-03        5.984867e-06
  9.20000000          9.20100658             5.707356e-02          5.600000e-03       8.520604e-03        5.995149e-06
  9.22500000          9.22622221             5.723521e-02          5.610000e-03       8.535733e-03        6.006465e-06
  9.25000000          9.25102608             5.738206e-02          5.620000e-03       8.550616e-03        6.016744e-06
  9.27500000          9.27626327             5.753991e-02          5.630000e-03       8.565758e-03        6.027793e-06
